Tanggal,Tavg,RH_avg,ff_avg
2/12/2023,26.4,90,2
3/12/2023,27.8,85,1
4/12/2023,27.6,86,2
5/12/2023,27.7,88,2
6/12/2023,26.9,90,2
7/12/2023,26.8,90,1
8/12/2023,27.8,87,1
9/12/2023,26.8,91,1
10/12/2023,26.8,91,2
11/12/2023,27.3,88,2
12/12/2023,28.2,84,1
13-12-2023,28.3,85,1
14-12-2023,27.1,90,1
15-12-2023,27.6,88,1
16-12-2023,28.2,86,1
17-12-2023,28.8,81,2
18-12-2023,28.4,84,2
19-12-2023,28,86,1
20-12-2023,27.7,88,2
21-12-2023,26.7,92,4
22-12-2023,27.1,90,4
23-12-2023,26.7,92,1
24-12-2023,27,88,2
25-12-2023,27.1,86,2
26-12-2023,27.3,88,3
27-12-2023,28,85,2
28-12-2023,28.2,84,2
29-12-2023,28.5,83,3
30-12-2023,28.4,83,3
31-12-2023,28.3,84,2
1/1/2024,27.6,87,2
2/1/2024,26.9,91,2
